Season,Champion(s),Record,Coach,Selector(s)
1977,Notre Dame,11–1,Dan Devine, CFRA
1977,Notre Dame,11–1,Dan Devine, DeS
1977,Notre Dame,11–1,Dan Devine, DuS
1977,Notre Dame,11–1,Dan Devine, FN
1977,Notre Dame,11–1,Dan Devine, FWAA
1977,Notre Dame,11–1,Dan Devine, HAF
1977,Notre Dame,11–1,Dan Devine, MGR
1977,Notre Dame,11–1,Dan Devine, NCF
1977,Notre Dame,11–1,Dan Devine, NFF
1977,Notre Dame,11–1,Dan Devine, PS
1977,Notre Dame,11–1,Dan Devine, R(FACT)
1977,Notre Dame,11–1,Dan Devine, SN
1977,Notre Dame,11–1,Dan Devine, SR
1977,Notre Dame,11–1,Dan Devine, UPI
1977,Texas,11–1,Fred Akers,B(QPRS)
1977,Texas,11–1,Fred Akers, R(FACT)
1977,Texas,11–1,Fred Akers, SR
1978,Alabama,11–1,"Paul ""Bear"" Bryant",AP
1978,Alabama,11–1,"Paul ""Bear"" Bryant", CFRA
1978,Alabama,11–1,"Paul ""Bear"" Bryant", FWAA
1978,Alabama,11–1,"Paul ""Bear"" Bryant", HAF
1978,Alabama,11–1,"Paul ""Bear"" Bryant", NCF
1978,Alabama,11–1,"Paul ""Bear"" Bryant", NFF
1978,Alabama,11–1,"Paul ""Bear"" Bryant", R(FACT)
1978,Oklahoma,11–1,Barry Switzer,DeS
1978,Oklahoma,11–1,Barry Switzer, DuS
1978,Oklahoma,11–1,Barry Switzer, HAF
1978,Oklahoma,11–1,Barry Switzer, L
1978,Oklahoma,11–1,Barry Switzer, MGR
1978,Oklahoma,11–1,Barry Switzer, PS
1978,Oklahoma,11–1,Barry Switzer, R(FACT)
1978,Oklahoma,11–1,Barry Switzer, SR
1978,USC,12–1,John Robinson,B(QPRS)
1978,USC,12–1,John Robinson, BR
1978,USC,12–1,John Robinson, FN
1978,USC,12–1,John Robinson, HAF
1978,USC,12–1,John Robinson, NCF
1978,USC,12–1,John Robinson, R(FACT)
1978,USC,12–1,John Robinson, SN
1978,USC,12–1,John Robinson, SR
1978,USC,12–1,John Robinson, UPI
1979,Alabama,12–0,"Paul ""Bear"" Bryant",AP
1979,Alabama,12–0,"Paul ""Bear"" Bryant", B(QPRS)
1979,Alabama,12–0,"Paul ""Bear"" Bryant", BR
1979,Alabama,12–0,"Paul ""Bear"" Bryant", DeS
1979,Alabama,12–0,"Paul ""Bear"" Bryant", DuS
1979,Alabama,12–0,"Paul ""Bear"" Bryant", FN
1979,Alabama,12–0,"Paul ""Bear"" Bryant", FWAA
1979,Alabama,12–0,"Paul ""Bear"" Bryant", HAF
1979,Alabama,12–0,"Paul ""Bear"" Bryant", MGR
1979,Alabama,12–0,"Paul ""Bear"" Bryant", NCF
1979,Alabama,12–0,"Paul ""Bear"" Bryant", NFF
1979,Alabama,12–0,"Paul ""Bear"" Bryant", NYT
1979,Alabama,12–0,"Paul ""Bear"" Bryant", PS
1979,Alabama,12–0,"Paul ""Bear"" Bryant", R(FACT)
1979,Alabama,12–0,"Paul ""Bear"" Bryant", SN
1979,Alabama,12–0,"Paul ""Bear"" Bryant", SR
1979,Alabama,12–0,"Paul ""Bear"" Bryant", UPI
1979,USC,11–0–1,John Robinson,CFRA
1980,Florida State,10–2,Bobby Bowden,R(FACT)
1980,Georgia,12–0,Vince Dooley,AP
1980,Georgia,12–0,Vince Dooley, B(QPRS)
1980,Georgia,12–0,Vince Dooley, BR
1980,Georgia,12–0,Vince Dooley, FN
1980,Georgia,12–0,Vince Dooley, FWAA
1980,Georgia,12–0,Vince Dooley, HAF
1980,Georgia,12–0,Vince Dooley, NCF
1980,Georgia,12–0,Vince Dooley, NFF
1980,Georgia,12–0,Vince Dooley, PS
1980,Georgia,12–0,Vince Dooley, R(FACT)
1980,Georgia,12–0,Vince Dooley, SN
1980,Georgia,12–0,Vince Dooley, SR
1980,Georgia,12–0,Vince Dooley, UPI
1980,Nebraska,10–2,Tom Osborne,R(FACT)
1980,Oklahoma,10–2,Barry Switzer,DuS
1980,Oklahoma,10–2,Barry Switzer, MGR
1980,Pittsburgh,11–1,Jackie Sherrill,CFRA
1980,Pittsburgh,11–1,Jackie Sherrill, DeS
1980,Pittsburgh,11–1,Jackie Sherrill, NYT
1980,Pittsburgh,11–1,Jackie Sherrill, R(FACT)
1980,Pittsburgh,11–1,Jackie Sherrill, SR
1981,Clemson,12–0,Danny Ford,AP
1981,Clemson,12–0,Danny Ford, B(QPRS)
1981,Clemson,12–0,Danny Ford, BR
1981,Clemson,12–0,Danny Ford, CFRA
1981,Clemson,12–0,Danny Ford, DeS
1981,Clemson,12–0,Danny Ford, FN
1981,Clemson,12–0,Danny Ford, FWAA
1981,Clemson,12–0,Danny Ford, HAF
1981,Clemson,12–0,Danny Ford, L
1981,Clemson,12–0,Danny Ford, MGR
1981,Clemson,12–0,Danny Ford, NCF
1981,Clemson,12–0,Danny Ford, NFF
1981,Clemson,12–0,Danny Ford, NYT
1981,Clemson,12–0,Danny Ford, PS
1981,Clemson,12–0,Danny Ford, R(FACT)
1981,Clemson,12–0,Danny Ford, SN
1981,Clemson,12–0,Danny Ford, SR
1981,Clemson,12–0,Danny Ford, UPI
1981,Nebraska,9–3,Tom Osborne,NCF
1981,Penn State,10–2,Joe Paterno,DuS
1981,Pittsburgh,11–1,Jackie Sherrill,NCF
1981,SMU,10–1,Ron Meyer,NCF
1981,Texas,10–1–1,Fred Akers,NCF
1982,Nebraska,12–1,Tom Osborne,B(QPRS)
1982,Penn State,11–1,Joe Paterno,AP
1982,Penn State,11–1,Joe Paterno, BR
1982,Penn State,11–1,Joe Paterno, CFRA
1982,Penn State,11–1,Joe Paterno, DeS
1982,Penn State,11–1,Joe Paterno, DuS
1982,Penn State,11–1,Joe Paterno, FN
1982,Penn State,11–1,Joe Paterno, FWAA
1982,Penn State,11–1,Joe Paterno, HAF
1982,Penn State,11–1,Joe Paterno, L
1982,Penn State,11–1,Joe Paterno, MGR
1982,Penn State,11–1,Joe Paterno, NCF
1982,Penn State,11–1,Joe Paterno, NFF
1982,Penn State,11–1,Joe Paterno, NYT
1982,Penn State,11–1,Joe Paterno, PS
1982,Penn State,11–1,Joe Paterno, R(FACT)
1982,Penn State,11–1,Joe Paterno, SN
1982,Penn State,11–1,Joe Paterno, SR
1982,Penn State,11–1,Joe Paterno, UPI
1982,Penn State,11–1,Joe Paterno, USAT
1982,SMU,11–0–1,Bobby Collins,HAF
1983,Auburn,11–1,Pat Dye,BR
1983,Auburn,11–1,Pat Dye, CFRA
1983,Auburn,11–1,Pat Dye, NYT
1983,Auburn,11–1,Pat Dye, R(FACT)
1983,Auburn,11–1,Pat Dye, SR
1983,Miami (FL),11–1,Howard Schnellenberger,AP
1983,Miami (FL),11–1,Howard Schnellenberger, DuS
1983,Miami (FL),11–1,Howard Schnellenberger, FN
1983,Miami (FL),11–1,Howard Schnellenberger, FWAA
1983,Miami (FL),11–1,Howard Schnellenberger, NCF
1983,Miami (FL),11–1,Howard Schnellenberger, NFF
1983,Miami (FL),11–1,Howard Schnellenberger, SN
1983,Miami (FL),11–1,Howard Schnellenberger, UPI
1983,Miami (FL),11–1,Howard Schnellenberger, USAT/CNN
1983,Nebraska,12–1,Tom Osborne,B(QPRS)
1983,Nebraska,12–1,Tom Osborne, DeS
1983,Nebraska,12–1,Tom Osborne, L
1983,Nebraska,12–1,Tom Osborne, MGR
1983,Nebraska,12–1,Tom Osborne, PS
1983,Nebraska,12–1,Tom Osborne, R(FACT)
1983,Nebraska,12–1,Tom Osborne, SR
1984,BYU,13–0,LaVell Edwards,AP
1984,BYU,13–0,LaVell Edwards, BR
1984,BYU,13–0,LaVell Edwards, CFRA
1984,BYU,13–0,LaVell Edwards, FWAA
1984,BYU,13–0,LaVell Edwards, NCF
1984,BYU,13–0,LaVell Edwards, NFF
1984,BYU,13–0,LaVell Edwards, PS
1984,BYU,13–0,LaVell Edwards, SR
1984,BYU,13–0,LaVell Edwards, UPI
1984,BYU,13–0,LaVell Edwards, USAT/CNN
1984,Florida,9–1–1,Galen Hall,DeS
1984,Florida,9–1–1,Galen Hall, DuS
1984,Florida,9–1–1,Galen Hall, MGR
1984,Florida,9–1–1,Galen Hall, NYT
1984,Florida,9–1–1,Galen Hall, R(FACT)
1984,Florida,9–1–1,Galen Hall, SN
1984,Florida,9–1–1,Galen Hall, SR
1984,Nebraska,10–2,Tom Osborne,L
1984,Washington,11–1,Don James,B(QPRS)
1984,Washington,11–1,Don James, FN
1984,Washington,11–1,Don James, NCF
1985,Florida,9–1–1,Galen Hall,SR
1985,Michigan,10–1–1,Bo Schembechler,MGR
1985,Oklahoma,11–1,Barry Switzer,AP
1985,Oklahoma,11–1,Barry Switzer, B(QPRS)
1985,Oklahoma,11–1,Barry Switzer, BR
1985,Oklahoma,11–1,Barry Switzer, CFRA
1985,Oklahoma,11–1,Barry Switzer, DeS
1985,Oklahoma,11–1,Barry Switzer, DuS
1985,Oklahoma,11–1,Barry Switzer, FN
1985,Oklahoma,11–1,Barry Switzer, FWAA
1985,Oklahoma,11–1,Barry Switzer, NCF
1985,Oklahoma,11–1,Barry Switzer, NFF
1985,Oklahoma,11–1,Barry Switzer, NYT
1985,Oklahoma,11–1,Barry Switzer, R(FACT)
1985,Oklahoma,11–1,Barry Switzer, SN
1985,Oklahoma,11–1,Barry Switzer, UPI
1985,Oklahoma,11–1,Barry Switzer, USAT/CNN
1986,Miami (FL),11–1,Jimmy Johnson,R(FACT)
1986,Oklahoma,11–1,Barry Switzer,B(QPRS)
1986,Oklahoma,11–1,Barry Switzer, CFRA
1986,Oklahoma,11–1,Barry Switzer, DeS
1986,Oklahoma,11–1,Barry Switzer, DuS
1986,Oklahoma,11–1,Barry Switzer, NYT
1986,Oklahoma,11–1,Barry Switzer, SR
1986,Penn State,12–0,Joe Paterno,AP
1986,Penn State,12–0,Joe Paterno, BR
1986,Penn State,12–0,Joe Paterno, FN
1986,Penn State,12–0,Joe Paterno, FWAA
1986,Penn State,12–0,Joe Paterno, MGR
1986,Penn State,12–0,Joe Paterno, NCF
1986,Penn State,12–0,Joe Paterno, NFF
1986,Penn State,12–0,Joe Paterno, R(FACT)
1986,Penn State,12–0,Joe Paterno, SN
1986,Penn State,12–0,Joe Paterno, SR
1986,Penn State,12–0,Joe Paterno, UPI
1986,Penn State,12–0,Joe Paterno, USAT/CNN
1987,Florida State,11–1,Bobby Bowden,B(QPRS)
1987,Miami (FL),12–0,Jimmy Johnson,AP
1987,Miami (FL),12–0,Jimmy Johnson, BR
1987,Miami (FL),12–0,Jimmy Johnson, CFRA
1987,Miami (FL),12–0,Jimmy Johnson, DeS
1987,Miami (FL),12–0,Jimmy Johnson, DuS
1987,Miami (FL),12–0,Jimmy Johnson, ERS
1987,Miami (FL),12–0,Jimmy Johnson, FN
1987,Miami (FL),12–0,Jimmy Johnson, FWAA
1987,Miami (FL),12–0,Jimmy Johnson, MGR
1987,Miami (FL),12–0,Jimmy Johnson, NCF
1987,Miami (FL),12–0,Jimmy Johnson, NFF
1987,Miami (FL),12–0,Jimmy Johnson, NYT
1987,Miami (FL),12–0,Jimmy Johnson, R(FACT)
1987,Miami (FL),12–0,Jimmy Johnson, SN
1987,Miami (FL),12–0,Jimmy Johnson, SR
1987,Miami (FL),12–0,Jimmy Johnson, UPI
1987,Miami (FL),12–0,Jimmy Johnson, USAT/CNN
1988,Miami (FL),11–1,Jimmy Johnson,B(QPRS)
1988,Notre Dame,12–0,Lou Holtz,AP
1988,Notre Dame,12–0,Lou Holtz, BR
1988,Notre Dame,12–0,Lou Holtz, CFRA
1988,Notre Dame,12–0,Lou Holtz, DeS
1988,Notre Dame,12–0,Lou Holtz, DuS
1988,Notre Dame,12–0,Lou Holtz, ERS
1988,Notre Dame,12–0,Lou Holtz, FN
1988,Notre Dame,12–0,Lou Holtz, FWAA
1988,Notre Dame,12–0,Lou Holtz, MGR
1988,Notre Dame,12–0,Lou Holtz, NCF
1988,Notre Dame,12–0,Lou Holtz, NFF
1988,Notre Dame,12–0,Lou Holtz, NYT
1988,Notre Dame,12–0,Lou Holtz, R(FACT)
1988,Notre Dame,12–0,Lou Holtz, SN
1988,Notre Dame,12–0,Lou Holtz, SR
1988,Notre Dame,12–0,Lou Holtz, UPI
1988,Notre Dame,12–0,Lou Holtz, USAT/CNN
1989,Miami (FL),11–1,Dennis Erickson,AP
1989,Miami (FL),11–1,Dennis Erickson, BR
1989,Miami (FL),11–1,Dennis Erickson, CFRA
1989,Miami (FL),11–1,Dennis Erickson, DeS
1989,Miami (FL),11–1,Dennis Erickson, DuS
1989,Miami (FL),11–1,Dennis Erickson, FN
1989,Miami (FL),11–1,Dennis Erickson, FWAA
1989,Miami (FL),11–1,Dennis Erickson, MGR
1989,Miami (FL),11–1,Dennis Erickson, NCF
1989,Miami (FL),11–1,Dennis Erickson, NFF
1989,Miami (FL),11–1,Dennis Erickson, NYT
1989,Miami (FL),11–1,Dennis Erickson, R(FACT)
1989,Miami (FL),11–1,Dennis Erickson, SN
1989,Miami (FL),11–1,Dennis Erickson, UPI
1989,Miami (FL),11–1,Dennis Erickson, USAT/CNN
1989,Notre Dame,12–1,Lou Holtz,B(QPRS)
1989,Notre Dame,12–1,Lou Holtz, ERS
1989,Notre Dame,12–1,Lou Holtz, R(FACT)
1989,Notre Dame,12–1,Lou Holtz, SR
1990,Colorado,11–1–1,Bill McCartney,AP
1990,Colorado,11–1–1,Bill McCartney, B(QPRS)
1990,Colorado,11–1–1,Bill McCartney, BR
1990,Colorado,11–1–1,Bill McCartney, CFRA
1990,Colorado,11–1–1,Bill McCartney, DeS
1990,Colorado,11–1–1,Bill McCartney, FN
1990,Colorado,11–1–1,Bill McCartney, FWAA
1990,Colorado,11–1–1,Bill McCartney, MGR
1990,Colorado,11–1–1,Bill McCartney, NCF
1990,Colorado,11–1–1,Bill McCartney, NFF
1990,Colorado,11–1–1,Bill McCartney, R(FACT)
1990,Colorado,11–1–1,Bill McCartney, SN
1990,Colorado,11–1–1,Bill McCartney, USAT/CNN
1990,Georgia Tech,11–0–1,Bobby Ross,DuS
1990,Georgia Tech,11–0–1,Bobby Ross, NCF
1990,Georgia Tech,11–0–1,Bobby Ross, R(FACT)
1990,Georgia Tech,11–0–1,Bobby Ross, SR
1990,Georgia Tech,11–0–1,Bobby Ross, UPI
1990,Miami (FL),10–2,Dennis Erickson,ERS
1990,Miami (FL),10–2,Dennis Erickson, NYT
1990,Miami (FL),10–2,Dennis Erickson, R(FACT)
1990,Miami (FL),10–2,Dennis Erickson, SR
1990,Washington,10–2,Don James,R(FACT)
1991,Miami (FL),12–0,Dennis Erickson,AP
1991,Miami (FL),12–0,Dennis Erickson, BR
1991,Miami (FL),12–0,Dennis Erickson, CFRA
1991,Miami (FL),12–0,Dennis Erickson, ERS
1991,Miami (FL),12–0,Dennis Erickson, NCF
1991,Miami (FL),12–0,Dennis Erickson, NYT
1991,Miami (FL),12–0,Dennis Erickson, SN
1991,Miami (FL),12–0,Dennis Erickson, SR
1991,Washington,12–0,Don James,B(QPRS)
1991,Washington,12–0,Don James, DeS
1991,Washington,12–0,Don James, DuS
1991,Washington,12–0,Don James, FN
1991,Washington,12–0,Don James, FWAA
1991,Washington,12–0,Don James, MGR
1991,Washington,12–0,Don James, NCF
1991,Washington,12–0,Don James, R(FACT)
1991,Washington,12–0,Don James, SR
1991,Washington,12–0,Don James, UPI/NFF
1991,Washington,12–0,Don James, USAT/CNN
1992,Alabama,13–0,Gene Stallings,AP
1992,Alabama,13–0,Gene Stallings, B(QPRS)
1992,Alabama,13–0,Gene Stallings, BR
1992,Alabama,13–0,Gene Stallings, CFRA
1992,Alabama,13–0,Gene Stallings, DeS
1992,Alabama,13–0,Gene Stallings, DuS
1992,Alabama,13–0,Gene Stallings, ERS
1992,Alabama,13–0,Gene Stallings, FN
1992,Alabama,13–0,Gene Stallings, FWAA
1992,Alabama,13–0,Gene Stallings, MGR
1992,Alabama,13–0,Gene Stallings, NCF
1992,Alabama,13–0,Gene Stallings, NYT
1992,Alabama,13–0,Gene Stallings, R(FACT)
1992,Alabama,13–0,Gene Stallings, SN
1992,Alabama,13–0,Gene Stallings, SR
1992,Alabama,13–0,Gene Stallings, UPI/NFF
1992,Alabama,13–0,Gene Stallings, USAT/CNN
1992,Florida State,11–1,Bobby Bowden,SR
1993,Auburn,11–0,Terry Bowden,NCF
1993,Florida State,12–1,Bobby Bowden,AP
1993,Florida State,12–1,Bobby Bowden, B(QPRS)
1993,Florida State,12–1,Bobby Bowden, BR
1993,Florida State,12–1,Bobby Bowden, CCR
1993,Florida State,12–1,Bobby Bowden, DeS
1993,Florida State,12–1,Bobby Bowden, DuS
1993,Florida State,12–1,Bobby Bowden, ERS
1993,Florida State,12–1,Bobby Bowden, FN
1993,Florida State,12–1,Bobby Bowden, FWAA
1993,Florida State,12–1,Bobby Bowden, NCF
1993,Florida State,12–1,Bobby Bowden, NYT
1993,Florida State,12–1,Bobby Bowden, R(FACT)
1993,Florida State,12–1,Bobby Bowden, SN
1993,Florida State,12–1,Bobby Bowden, SR
1993,Florida State,12–1,Bobby Bowden, UPI
1993,Florida State,12–1,Bobby Bowden, USAT/CNN
1993,Florida State,12–1,Bobby Bowden, USAT/NFF
1993,Nebraska,11–1,Tom Osborne,NCF
1993,Notre Dame,11–1,Lou Holtz,MGR
1993,Notre Dame,11–1,Lou Holtz, NCF
1994,Florida State,10–1–1,Bobby Bowden,DuS
1994,Nebraska,13–0,Tom Osborne,AP
1994,Nebraska,13–0,Tom Osborne, AS
1994,Nebraska,13–0,Tom Osborne, B(QPRS)
1994,Nebraska,13–0,Tom Osborne, BR
1994,Nebraska,13–0,Tom Osborne, FN
1994,Nebraska,13–0,Tom Osborne, FWAA
1994,Nebraska,13–0,Tom Osborne, NCF
1994,Nebraska,13–0,Tom Osborne, R(FACT)
1994,Nebraska,13–0,Tom Osborne, SN
1994,Nebraska,13–0,Tom Osborne, SR
1994,Nebraska,13–0,Tom Osborne, UPI
1994,Nebraska,13–0,Tom Osborne, USAT/CNN
1994,Nebraska,13–0,Tom Osborne, USAT/NFF
1994,Penn State,12–0,Joe Paterno,CCR
1994,Penn State,12–0,Joe Paterno, DeS
1994,Penn State,12–0,Joe Paterno, ERS
1994,Penn State,12–0,Joe Paterno, MGR
1994,Penn State,12–0,Joe Paterno, NCF
1994,Penn State,12–0,Joe Paterno, NYT
1994,Penn State,12–0,Joe Paterno, R(FACT)
1994,Penn State,12–0,Joe Paterno, SR
1995,Nebraska,12–0,Tom Osborne,AP
1995,Nebraska,12–0,Tom Osborne, AS
1995,Nebraska,12–0,Tom Osborne, B(QPRS)
1995,Nebraska,12–0,Tom Osborne, BR
1995,Nebraska,12–0,Tom Osborne, CCR
1995,Nebraska,12–0,Tom Osborne, DeS
1995,Nebraska,12–0,Tom Osborne, DuS
1995,Nebraska,12–0,Tom Osborne, ERS
1995,Nebraska,12–0,Tom Osborne, FN
1995,Nebraska,12–0,Tom Osborne, FWAA
1995,Nebraska,12–0,Tom Osborne, MGR
1995,Nebraska,12–0,Tom Osborne, NCF
1995,Nebraska,12–0,Tom Osborne, NFF
1995,Nebraska,12–0,Tom Osborne, NYT
1995,Nebraska,12–0,Tom Osborne, R(FACT)
1995,Nebraska,12–0,Tom Osborne, SN
1995,Nebraska,12–0,Tom Osborne, SR
1995,Nebraska,12–0,Tom Osborne, UPI
1995,Nebraska,12–0,Tom Osborne, USAT/CNN
1996,Florida,12–1,Steve Spurrier,AP
1996,Florida,12–1,Steve Spurrier, B(QPRS)
1996,Florida,12–1,Steve Spurrier, BR
1996,Florida,12–1,Steve Spurrier, CCR
1996,Florida,12–1,Steve Spurrier, DeS
1996,Florida,12–1,Steve Spurrier, DuS
1996,Florida,12–1,Steve Spurrier, ERS
1996,Florida,12–1,Steve Spurrier, FN
1996,Florida,12–1,Steve Spurrier, FWAA
1996,Florida,12–1,Steve Spurrier, MGR
1996,Florida,12–1,Steve Spurrier, NCF
1996,Florida,12–1,Steve Spurrier, NFF
1996,Florida,12–1,Steve Spurrier, NYT
1996,Florida,12–1,Steve Spurrier, R(FACT)
1996,Florida,12–1,Steve Spurrier, SN
1996,Florida,12–1,Steve Spurrier, SR
1996,Florida,12–1,Steve Spurrier, USAT/CNN
1996,Florida State,11–1,Bobby Bowden,AS
1997,Michigan,12–0,Lloyd Carr,AP
1997,Michigan,12–0,Lloyd Carr, FN
1997,Michigan,12–0,Lloyd Carr, FWAA
1997,Michigan,12–0,Lloyd Carr, NCF
1997,Michigan,12–0,Lloyd Carr, NFF
1997,Michigan,12–0,Lloyd Carr, SN
1997,Nebraska,13–0,Tom Osborne,A&H
1997,Nebraska,13–0,Tom Osborne, AS
1997,Nebraska,13–0,Tom Osborne, B(QPRS)
1997,Nebraska,13–0,Tom Osborne, BR
1997,Nebraska,13–0,Tom Osborne, CCR
1997,Nebraska,13–0,Tom Osborne, DeS
1997,Nebraska,13–0,Tom Osborne, DuS
1997,Nebraska,13–0,Tom Osborne, ERS
1997,Nebraska,13–0,Tom Osborne, MGR
1997,Nebraska,13–0,Tom Osborne, NCF
1997,Nebraska,13–0,Tom Osborne, NYT
1997,Nebraska,13–0,Tom Osborne, R(FACT)
1997,Nebraska,13–0,Tom Osborne, SR
1997,Nebraska,13–0,Tom Osborne, USAT/ESPN
1998,Tennessee,13–0,Phillip Fulmer,A&H
1998,Tennessee,13–0,Phillip Fulmer, AP
1998,Tennessee,13–0,Phillip Fulmer, AS
1998,Tennessee,13–0,Phillip Fulmer, B(QPRS)
1998,Tennessee,13–0,Phillip Fulmer, BCS
1998,Tennessee,13–0,Phillip Fulmer, BR
1998,Tennessee,13–0,Phillip Fulmer, CCR
1998,Tennessee,13–0,Phillip Fulmer, DeS
1998,Tennessee,13–0,Phillip Fulmer, DuS
1998,Tennessee,13–0,Phillip Fulmer, ERS
1998,Tennessee,13–0,Phillip Fulmer, FN
1998,Tennessee,13–0,Phillip Fulmer, FWAA
1998,Tennessee,13–0,Phillip Fulmer, MGR
1998,Tennessee,13–0,Phillip Fulmer, NCF
1998,Tennessee,13–0,Phillip Fulmer, NFF
1998,Tennessee,13–0,Phillip Fulmer, NYT
1998,Tennessee,13–0,Phillip Fulmer, R(FACT)
1998,Tennessee,13–0,Phillip Fulmer, SN
1998,Tennessee,13–0,Phillip Fulmer, USAT/ESPN
1998,Ohio State,11–1,John Cooper,SRb
1999,Florida State,12–0,Bobby Bowden,A&H
1999,Florida State,12–0,Bobby Bowden, AP
1999,Florida State,12–0,Bobby Bowden, B(QPRS)
1999,Florida State,12–0,Bobby Bowden, BCS
1999,Florida State,12–0,Bobby Bowden, BR
1999,Florida State,12–0,Bobby Bowden, CCR
1999,Florida State,12–0,Bobby Bowden, DeS
1999,Florida State,12–0,Bobby Bowden, DuS
1999,Florida State,12–0,Bobby Bowden, ERS
1999,Florida State,12–0,Bobby Bowden, FN
1999,Florida State,12–0,Bobby Bowden, FWAA
1999,Florida State,12–0,Bobby Bowden, MCFR
1999,Florida State,12–0,Bobby Bowden, MGR
1999,Florida State,12–0,Bobby Bowden, NCF
1999,Florida State,12–0,Bobby Bowden, NFF
1999,Florida State,12–0,Bobby Bowden, NYT
1999,Florida State,12–0,Bobby Bowden, R(FACT)
1999,Florida State,12–0,Bobby Bowden, SN
1999,Florida State,12–0,Bobby Bowden, SR
1999,Florida State,12–0,Bobby Bowden, USAT/ESPN
2000,Miami (FL),11–1,Butch Davis,NYT
2000,Oklahoma,13–0,Bob Stoops,A&H
2000,Oklahoma,13–0,Bob Stoops, AP
2000,Oklahoma,13–0,Bob Stoops, B(QPRS)
2000,Oklahoma,13–0,Bob Stoops, BCS
2000,Oklahoma,13–0,Bob Stoops, BR
2000,Oklahoma,13–0,Bob Stoops, CCR
2000,Oklahoma,13–0,Bob Stoops, DeS
2000,Oklahoma,13–0,Bob Stoops, DuS
2000,Oklahoma,13–0,Bob Stoops, ERS
2000,Oklahoma,13–0,Bob Stoops, FN
2000,Oklahoma,13–0,Bob Stoops, FWAA
2000,Oklahoma,13–0,Bob Stoops, MCFR
2000,Oklahoma,13–0,Bob Stoops, MGR
2000,Oklahoma,13–0,Bob Stoops, NCF
2000,Oklahoma,13–0,Bob Stoops, NFF
2000,Oklahoma,13–0,Bob Stoops, R(FACT)
2000,Oklahoma,13–0,Bob Stoops, SN
2000,Oklahoma,13–0,Bob Stoops, SR
2000,Oklahoma,13–0,Bob Stoops, USAT/ESPN
2001,Miami (FL),12–0,Larry Coker,A&H
2001,Miami (FL),12–0,Larry Coker, AP
2001,Miami (FL),12–0,Larry Coker, B(QPRS)
2001,Miami (FL),12–0,Larry Coker, BCS
2001,Miami (FL),12–0,Larry Coker, BR
2001,Miami (FL),12–0,Larry Coker, CCR
2001,Miami (FL),12–0,Larry Coker, CM
2001,Miami (FL),12–0,Larry Coker, DeS
2001,Miami (FL),12–0,Larry Coker, DuS
2001,Miami (FL),12–0,Larry Coker, ERS
2001,Miami (FL),12–0,Larry Coker, FN
2001,Miami (FL),12–0,Larry Coker, FWAA
2001,Miami (FL),12–0,Larry Coker, MCFR
2001,Miami (FL),12–0,Larry Coker, MGR
2001,Miami (FL),12–0,Larry Coker, NFF
2001,Miami (FL),12–0,Larry Coker, NYT
2001,Miami (FL),12–0,Larry Coker, R(FACT)
2001,Miami (FL),12–0,Larry Coker, SN
2001,Miami (FL),12–0,Larry Coker, SR
2001,Miami (FL),12–0,Larry Coker, USAT/ESPN
2001,Miami (FL),12–0,Larry Coker, W
2002,Ohio State,14–0,Jim Tressel,A&H
2002,Ohio State,14–0,Jim Tressel, AP
2002,Ohio State,14–0,Jim Tressel, B(QPRS)
2002,Ohio State,14–0,Jim Tressel, BCS
2002,Ohio State,14–0,Jim Tressel, BR
2002,Ohio State,14–0,Jim Tressel, CCR
2002,Ohio State,14–0,Jim Tressel, CM
2002,Ohio State,14–0,Jim Tressel, DeS
2002,Ohio State,14–0,Jim Tressel, ERS
2002,Ohio State,14–0,Jim Tressel, FN
2002,Ohio State,14–0,Jim Tressel, FWAA
2002,Ohio State,14–0,Jim Tressel, MCFR
2002,Ohio State,14–0,Jim Tressel, NFF
2002,Ohio State,14–0,Jim Tressel, NYT
2002,Ohio State,14–0,Jim Tressel, R(FACT)
2002,Ohio State,14–0,Jim Tressel, SN
2002,Ohio State,14–0,Jim Tressel, SR
2002,Ohio State,14–0,Jim Tressel, USAT/ESPN
2002,Ohio State,14–0,Jim Tressel, W
2002,USC,11–2,Pete Carroll,DuS
2002,USC,11–2,Pete Carroll, MGR
2002,USC,11–2,Pete Carroll, SR
2003,LSU,13–1,Nick Saban,A&H
2003,LSU,13–1,Nick Saban, BCS
2003,LSU,13–1,Nick Saban, BR
2003,LSU,13–1,Nick Saban, CM
2003,LSU,13–1,Nick Saban, DeS
2003,LSU,13–1,Nick Saban, DuS
2003,LSU,13–1,Nick Saban, MCFR
2003,LSU,13–1,Nick Saban, NFF
2003,LSU,13–1,Nick Saban, R(FACT)
2003,LSU,13–1,Nick Saban, SR
2003,LSU,13–1,Nick Saban, USAT/ESPN
2003,LSU,13–1,Nick Saban, W
2003,Oklahoma,12–2,Bob Stoops,B(QPRS)
2003,USC,12–1,Pete Carroll,AP
2003,USC,12–1,Pete Carroll, CCR
2003,USC,12–1,Pete Carroll, ERS
2003,USC,12–1,Pete Carroll, FWAA
2003,USC,12–1,Pete Carroll, MGR
2003,USC,12–1,Pete Carroll, NYT
2003,USC,12–1,Pete Carroll, SN
2004,USCc,11–0d,Pete Carroll,A&H
2004,USCc,11–0d,Pete Carroll, AP
2004,USCc,11–0d,Pete Carroll, B(QPRS)
2004,USCc,11–0d,Pete Carroll, BR
2004,USCc,11–0d,Pete Carroll, CCR
