Business School,University,"Location (State, City)",var,value
University of Miami Business School,University of Miami,"Florida, Coral Gables",Ec 2015,97.0
University of Mississippi School of Business Administration,University of Mississippi,"Mississippi, Oxford",Ec 2015,
W. P. Carey School of Business,Arizona State University,"Arizona, Tempe",Ec 2015,47.0
Warrington College of Business / Hough Graduate School of Business,University of Florida,"Florida, Gainesville",Ec 2015,58.0
Weatherhead School of Management,Case Western Reserve University,"Ohio, Cleveland",Ec 2015,86.0
Wisconsin School of Business,University of Wisconsin at Madison,"Wisconsin, Madison",Ec 2015,57.0
Yale School of Management,Yale University,"Connecticut, New Haven",Ec 2015,19.0
Zarb School of Business,Hofstra University,"Hempstead, New York",Ec 2015,
Zicklin School of Business,CUNY Baruch College,"New York, New York City",Ec 2015,
A. Gary Anderson Graduate School of Management,University of California Riverside,"California, Riverside",QS 2015,69.0
Argyros School of Business and Economics,Chapman University,"California, Orange",QS 2015,
Atkinson Graduate School of Management,Willamette University,"Oregon, Salem",QS 2015,
Babcock Graduate School of Management,Wake Forest University,"North Carolina, Winston-Salem",QS 2015,
Bauer College of Business,University of Houston,"Texas, Houston",QS 2015,
Bennett S. LeBow College of Business,Drexel University,"Pennsylvania, Philadelphia",QS 2015,
Binghamton University School of Management,Binghamton University,"New York, Binghamton",QS 2015,
Booth School of Business,University of Chicago,"Illinois, Chicago",QS 2015,4.0
Brandeis International Business School,Brandeis University,"Massachusetts, Waltham",QS 2015,
Busch School of Business and Economics,Catholic University of America,"Washington, DC",QS 2015,
Carl H. Lindner College of Business,University of Cincinnati,"Ohio, Cincinnati",QS 2015,
Carlson School of Management,University of Minnesota,"Minnesota, Minneapolis",QS 2015,
Carroll School of Management,Boston College,"Massachusetts, Chestnut Hill",QS 2015,
Raymond J. Harbert College of Business,Auburn University,"Alabama, Auburn",QS 2015,
Charlton College of Business,University of Massachusetts Dartmouth,"Massachusetts, Dartmouth",QS 2015,
Columbia Business School,Columbia University,"New York, New York City",QS 2015,5.0
Cox School of Business,Southern Methodist University,"Texas, Dallas",QS 2015,
Crummer Graduate School of Business,Rollins College,"Florida, Winter Park",QS 2015,
Manderson Graduate School of Business,University of Alabama,"Alabama, Tuscaloosa",QS 2015,
Daniels College of Business,University of Denver,"Denver, Colorado",QS 2015,
Darden Graduate School of Business Administration,University of Virginia,"Virginia, Charlottesville",QS 2015,37.0
David Eccles School of Business,University of Utah,"Utah, Salt Lake City",QS 2015,
E. J. Ourso College of Business,Louisiana State University,"Louisiana, Baton Rouge",QS 2015,
E. Philip Saunders College of Business,Rochester Institute of Technology,"New York, Henrietta",QS 2015,
Eli Broad College of Business,Michigan State University,"Michigan, East Lansing",QS 2015,
Eller College of Management,University of Arizona,"Arizona, Tucson",QS 2015,
Fisher College of Business,Ohio State University,"Ohio, Columbus",QS 2015,
Florida International University College of Business / Chapman Graduate School of Business,Florida International University,"Florida, Miami",QS 2015,
Foster School of Business,University of Washington,"Washington, Seattle",QS 2015,
Fox School of Business,Temple University,"Pennsylvania, Philadelphia",QS 2015,
Freeman School of Business,Tulane University,"Louisiana, New Orleans",QS 2015,
Fuqua School of Business,Duke University,"North Carolina, Durham",QS 2015,13.0
F. W. Olin Graduate School of Business,Babson College,"Massachusetts, Wellesley",QS 2015,
Gabelli School of Business,Fordham University,"New York, New York City",QS 2015,
Gatton College of Business and Economics,University of Kentucky,"Kentucky, Lexington",QS 2015,
Gies College of Business,University of Illinois,"Illinois, Champaign",QS 2015,
Goizueta Business School,Emory University,"Georgia, Atlanta",QS 2015,
Graziadio School of Business and Management,Pepperdine University,"California, Malibu",QS 2015,
Haas School of Business,"University of California, Berkeley","California, Berkeley",QS 2015,12.0
Hankamer School of Business,Baylor University,"Texas, Waco",QS 2015,
Harvard Business School,Harvard University,"Massachusetts, Boston",QS 2015,1.0
Howard University School of Business,Howard University,"Washington, D.C.",QS 2015,
Hult International Business School,Hult International Business School,"Massachusetts, Cambridge",QS 2015,
Iowa State University College of Business,Iowa State University,"Iowa, Ames",QS 2015,
Isenberg School of Management,University of Massachusetts Amherst,"Massachusetts, Amherst",QS 2015,
Poole College of Management,North Carolina State University,"North Carolina, Raleigh",QS 2015,
Jesse H. Jones Graduate School of Management,Rice University,"Texas, Houston",QS 2015,
Chaifetz School of Business,Saint Louis University,"Missouri, St. Louis",QS 2015,
Kansas School of Business,University of Kansas,"Lawrence, Kansas",QS 2015,
Katz School of Business,University of Pittsburgh,"Pennsylvania, Pittsburgh",QS 2015,
Kelley School of Business,Indiana University,"Indiana, Bloomington",QS 2015,
Kellogg School of Management,Northwestern University,"Illinois, Evanston",QS 2015,6.0
Kenan-Flagler Business School,"University of North Carolina, Chapel Hill","North Carolina, Chapel Hill",QS 2015,
Kellstadt Graduate School of Business,DePaul University,"Illinois, Chicago",QS 2015,
Kogod School of Business,American University,"Washington, D.C.",QS 2015,
Krannert School of Management,Purdue University,"Indiana, West Lafayette",QS 2015,
Leavey School of Business,Santa Clara University,"California, Santa Clara",QS 2015,
Leeds School of Business,University of Colorado at Boulder,"Colorado, Boulder",QS 2015,
Liautaud Graduate School of Business,University of Illinois at Chicago,"Illinois, Chicago",QS 2015,
Lubin School of Business,Pace University,New York City,QS 2015,
Lundquist College of Business,University of Oregon,"Eugene, Oregon",QS 2015,
Marriott School of Management,Brigham Young University,"Utah, Provo",QS 2015,
Scheller College of Business,Georgia Institute of Technology,"Georgia, Atlanta",QS 2015,
Marshall School of Business,University of Southern California,"California, Los Angeles",QS 2015,
Martin J. Whitman School of Management,Syracuse University,"New York, Syracuse",QS 2015,
Mason School of Business,College of William & Mary,"Virginia, Williamsburg",QS 2015,
Massry Center for Business,"University at Albany, State University of New York","New York, Albany",QS 2015,
Mays Business School,Texas A&M University,"Texas, College Station",QS 2015,
McCallum Graduate School of Business,Bentley University,"Massachusetts, Waltham",QS 2015,
McCombs School of Business,University of Texas at Austin,"Texas, Austin",QS 2015,
McDonough School of Business,Georgetown University,"Washington, D.C.",QS 2015,
Mendoza College of Business,University of Notre Dame,"Indiana, South Bend",QS 2015,
Merage School of Business,"University of California, Irvine","California, Irvine",QS 2015,
Michael F. Price College of Business,University of Oklahoma,"Oklahoma, Norman",QS 2015,
MIT Sloan School of Management,Massachusetts Institute of Technology,"Massachusetts, Cambridge",QS 2015,7.0
Moore School of Business,University of South Carolina,"South Carolina, Columbia",QS 2015,
Naveen Jindal School of Management,University of Texas at Dallas,"Texas, Richardson",QS 2015,
D'Amore-McKim School of Business,Northeastern University,"Massachusetts, Boston",QS 2015,
Neeley School of Business,Texas Christian University,"Texas, Fort Worth",QS 2015,
Olin Business School,Washington University in St. Louis,"Missouri, St. Louis",QS 2015,
Owen Graduate School of Management,Vanderbilt University,"Tennessee, Nashville",QS 2015,
Pamplin College of Business,Virginia Polytechnic Institute and State University,"Virginia, Blacksburg",QS 2015,
Peter F. Drucker and Masatoshi Ito Graduate School of Management,Claremont Graduate University,"California, Claremont",QS 2015,
Powers College of Business,Clemson University,"Clemson, South Carolina",QS 2015,
Rady School of Management,"University of California, San Diego","California, San Diego",QS 2015,
Rawls College of Business,Texas Tech University,"Lubbock, Texas",QS 2015,
Robert H. Smith School of Business,"University of Maryland, College Park","Maryland, College Park",QS 2015,
Ross School of Business,University of Michigan,"Michigan, Ann Arbor",QS 2015,8.0
Rutgers Business School,Rutgers University,"New Jersey, New Brunswick and Newark",QS 2015,
Questrom School of Business,Boston University,"Massachusetts, Boston",QS 2015,
Samuel Curtis Johnson Graduate School of Management,Cornell University,"New York, Ithaca",QS 2015,25.0
Sam M. Walton College of Business,University of Arkansas,"Arkansas, Fayetteville",QS 2015,
School of Business,College of Charleston,"Charleston, SC",QS 2015,
Simon Business School,University of Rochester,"New York, Rochester",QS 2015,
Smeal College of Business,Penn State University,"Pennsylvania, University Park",QS 2015,
Stanford Graduate School of Business,Stanford University,"California, Stanford",QS 2015,1.0
SIT School of Business,Stevens Institute of Technology,"Hoboken, New Jersey",QS 2015,
Stern School of Business,New York University,"New York, New York City",QS 2015,10.0
Sykes School of Business,University of Tampa,"Tampa, Florida",QS 2015,
Tepper School of Business,Carnegie Mellon University,"Pennsylvania, Pittsburgh",QS 2015,
Haslam College of Business,University of Tennessee,"Tennessee, Knoxville",QS 2015,
Terry College of Business,University of Georgia,"Georgia, Athens",QS 2015,
The George Washington University School of Business,George Washington University,"Washington, D.C.",QS 2015,
The Wharton School,University of Pennsylvania,"Pennsylvania, Philadelphia",QS 2015,1.0
Thunderbird School of Global Management,Arizona State University,"Arizona, Phoenix",QS 2015,
Tippie College of Business,University of Iowa,"Iowa, Iowa City",QS 2015,
Trulaske College of Business,University of Missouri,"Missouri, Columbia",QS 2015,
Tuck School of Business,Dartmouth College,"New Hampshire, Hanover",QS 2015,24.0
UC Davis Graduate School of Management,"University of California, Davis","California, Davis",QS 2015,
UCLA Anderson School of Management,"University of California, Los Angeles","California, Los Angeles",QS 2015,9.0
University at Buffalo School of Management,The State University of New York at Buffalo,"New York, Buffalo",QS 2015,
University of Connecticut School of Business,University of Connecticut,"Connecticut, Storrs",QS 2015,
University of Louisville College of Business,University of Louisville,"Kentucky, Louisville",QS 2015,
University of Miami Business School,University of Miami,"Florida, Coral Gables",QS 2015,
University of Mississippi School of Business Administration,University of Mississippi,"Mississippi, Oxford",QS 2015,
W. P. Carey School of Business,Arizona State University,"Arizona, Tempe",QS 2015,
Warrington College of Business / Hough Graduate School of Business,University of Florida,"Florida, Gainesville",QS 2015,
Weatherhead School of Management,Case Western Reserve University,"Ohio, Cleveland",QS 2015,
Wisconsin School of Business,University of Wisconsin at Madison,"Wisconsin, Madison",QS 2015,
Yale School of Management,Yale University,"Connecticut, New Haven",QS 2015,11.0
Zarb School of Business,Hofstra University,"Hempstead, New York",QS 2015,
Zicklin School of Business,CUNY Baruch College,"New York, New York City",QS 2015,
