original_title,title_length,production_companies
Punisher: War Zone,18,"Lionsgate, MHF Zweite Academy Film, Marvel Knights, Valhalla Motion Pictures, SGF Entertainment"
Max Payne,9,"Dune Entertainment, Firm Films, Collision Entertainment, Abandon Entertainment, Foxtor Productions"
Mirrors,7,"Regency Enterprises, Castel Film Romania, ASAF, New Regency Pictures, Luna Pictures"
Vantage Point,13,"Columbia Pictures, Original Film, Kanzaman, Relativity Media, Art In Motion"
Zack and Miri Make a Porno,26,"Blue Askew, View Askew Productions"
Get Smart,9,"Village Roadshow Pictures, Atlas Entertainment, Mosaic Media Group, Mad Chance, Warner Bros."
Role Models,11,"Universal Pictures, Internationale Filmproduktion Stella-del-SÃ¼d, Relativity Media, New Regency Pictures, WideAwake"
Babylon A.D.,12,"StudioCanal, M6 Films, Canal+, CinÃ©CinÃ©ma, Babylon"
In Bruges,9,"Blueprint Pictures, Scion Films, Film4, Focus Features, Twins Financing"
Changeling,10,"Imagine Entertainment, Malpaso Productions, Relativity Media"
The Spiderwick Chronicles,25,"Paramount Pictures, The Kennedy/Marshall Company"
Harold & Kumar Escape from Guantanamo Bay,41,New Line Cinema
Street Kings,12,"Fox Searchlight Pictures, Regency Enterprises, Dune Entertainment III, Emmett/Furla Films"
Nick and Norah's Infinite Playlist,34,"Columbia Pictures, Mandate Pictures, Depth of Field, Screen Gems"
Four Christmases,16,"New Line Cinema, Spyglass Entertainment, Type A Films, Ott Medien, Wild West Picture Show Productions"
The House Bunny,15,"Columbia Pictures, Happy Madison Productions, Relativity Media, Alta Loma Entertainment"
Saw V,5,"Lionsgate, Twisted Pictures"
The Love Guru,13,"Paramount Pictures, Goldcrest Pictures, Internationale Filmproduktion"
Speed Racer,11,"Village Roadshow Pictures, Studio Babelsberg, Anarchos Productions, Silver Pictures, Warner Bros."
Vicky Cristina Barcelona,24,"The Weinstein Company, Gravier Productions, Antena 3 Films, TelevisiÃ³ de Catalunya (TV3), Antena 3 TelevisiÃ³n"
Horton Hears a Who!,19,"Twentieth Century Fox Film Corporation, Blue Sky Studios, Twentieth Century Fox Animation"
The Forbidden Kingdom,21,"Casey Silver Productions, China Film Co-Production Corporation, Huayi Brothers, Relativity Media"
Righteous Kill,14,"Grosvenor Park Media Ltd., InVenture Entertainment, Millennium Films, Emmett/Furla Films, Nu-Image Films"
Transsiberian,13,"Lietuvos Kinostudija, Scout Productions, Telecinco Cinema, Castelao Producciones, Canal+ EspaÃ±a"
You Don't Mess With the Zohan,29,"Columbia Pictures, Happy Madison Productions, Sony Pictures Releasing"
Defiance,8,"Paramount Vantage, Grosvenor Park Productions, Bedford Falls Company, The, Defiance Productions, Pistachio Pictures"
Untraceable,11,"Lakeshore Entertainment, Cohen/Pearl Productions, Screen Gems"
The Strangers,13,"Rogue Pictures, Vertigo Entertainment"
Milk,4,Focus Features
Outlander,9,"Ascendant Pictures, Rising Star, VIP Medienfonds 4, Virtual Films, Outlander Productions"
The X Files: I Want to Believe,30,"Twentieth Century Fox Film Corporation, Ten Thirteen Productions, Dune Entertainment III, Crying Box Productions"
Doubt,5,Miramax Films
City of Ember,13,"Playtone, Walden Media"
Made of Honor,13,"Columbia Pictures, Original Film"
Deception,9,"Rifkin-Eberts, Dune Entertainment III, Seed Productions"
RockNRolla,10,"StudioCanal, Dark Castle Entertainment, Toff Guy Films, Warner Bros."
The Eye,7,"Paramount Vantage, VN Productions"
Bangkok Dangerous,17,"Virtual Studios, Initial Entertainment Group, Saturn Films, International Production Company, Blue Star Pictures"
Meet the Spartans,17,"Regency Enterprises, New Regency Pictures"
The Spirit,10,"DC Comics, Lionsgate, Odd Lot Entertainment, Media Magik Entertainment, Dark Lot Entertainment"
The Happening,13,"Spyglass Entertainment, Twentieth Century Fox Film Corporation, Dune Entertainment, UTV Motion Pictures, Blinding Edge Pictures"
Doomsday,8,"Rogue Pictures, Intrepid Pictures, Scion Films, Moonlighting Films, Internationale Filmproduktion Blackbird Dritte"
The Secret of Moonacre,22,"South Pacific Pictures, Metropolitan Filmexport, Spice Factory, UK Film Council, The Australian Film Commission"
Sex and the City,16,"New Line Cinema, Darren Star Productions, Home Box Office (HBO)"
The Rocker,10,Fox Atomic
The Tale of Despereaux,22,Universal Pictures Corporation
Superhero Movie,15,Dimension Films
The Secret Life of Bees,23,Fox Searchlight Pictures
Beverly Hills Chihuahua,23,Walt Disney Pictures
Revolutionary Road,18,"DreamWorks SKG, Scott Rudin Productions, BBC Films, Neal Street Productions, Evamere Entertainment"
Baby Mama,9,"Relativity Media, Michaels-Goldwyn"
Brideshead Revisited,20,"BBC Films, Ecosse Films, HanWay Films, UK Film Council, 2 Entertain"
The Brothers Bloom,18,"The Weinstein Company, Summit Entertainment, Endgame Entertainment"
Meet Dave,9,"20th Century Fox, Regency Enterprises, Guy Walks into a Bar Productions, Deep River Productions"
Quarantine,10,"Vertigo Entertainment, Screen Gems, Andale Pictures"
The Express,11,"Davis Entertainment, Relativity Media, IDEA Filmproduktions"
Space Chimps,12,"Starz Media, Starz Animation, Odyssey Entertainment, Studiopolis, Vanguard Animation"
Lakeview Terrace,16,"Screen Gems, Overbrook Entertainment"
What Just Happened,18,"2929 Productions, Linson Entertainment, Art Linson Productions, Tribeca Productions"
Disaster Movie,14,"Grosvenor Park Media Ltd., LionsGate, 3 in the Box"
My Best Friend's Girl,21,"Lionsgate, New Wave Entertainment, Management 360, Terra Firma Films, Superfinger Entertainment"
The Midnight Meat Train,23,"Lions Gate Films, Lakeshore Entertainment, GreeneStreet Films, Midnight Picture Show"
Mutant Chronicles,17,"Isle of Man Film, Edward R. Pressman Film, Paradox Entertainment, First Foot Films"
Swing Vote,10,Touchstone Pictures
W.,2,"Ixtlan Productions, Emperor Motion Pictures, Global Entertainment Group"
Smart People,12,"Miramax Films, Sherazade Film Development, Groundswell Productions, QED International, Corduroy Films"
Nim's Island,12,Walden Media
Igor,4,"Exodus Film Group, Exodus Productions"
How to Lose Friends & Alienate People,37,"UK Film Council, Intandem Films, Aramid Entertainment Fund, Film4, Lipsync Productions"
Welcome Home Roscoe Jenkins,27,"Universal Pictures, Spyglass Entertainment"
Captain America: The First Avenger,34,Marvel Studios
Drive,5,"Bold Films, Marc Platt Productions, Odd Lot Entertainment, FilmDistrict, Motel Movies"
Harry Potter and the Deathly Hallows: Part 2,44,"Warner Bros., Heyday Films, Moving Picture Company (MPC)"
Pirates of the Caribbean: On Stranger Tides,43,"Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company (MPC)"
Rise of the Planet of the Apes,30,20th Century Fox
Thor,4,"Marvel Studios, Marvel Entertainment"
In Time,7,"Regency Enterprises, Strike Entertainment, New Regency Pictures"
Drive Angry,11,"Summit Entertainment, Saturn Films, Nu Image Films, Millennium Films, Michael De Luca Productions"
The Mechanic,12,"CBS Films, Millennium Films, Chartoff-Winkler Productions, Scared Productions, Nu Image Entertainment GmbH"
Source Code,11,"The Mark Gordon Company, Vendome Pictures"
Mission: Impossible - Ghost Protocol,36,"Paramount Pictures, Skydance Productions, Bad Robot, TC Productions, Revolution Sun Studios"
"Crazy, Stupid, Love.",20,Warner Bros.
The Girl with the Dragon Tattoo,31,"Columbia Pictures, Scott Rudin Productions, Film Rites, Metro-Goldwyn-Mayer (MGM), Yellow Bird"
Limitless,9,"Rogue Pictures, Relativity Media, Virgin Produced, Many Rivers Productions, Boy of the Year"
Kung Fu Panda 2,15,DreamWorks Animation
Just Go With It,15,"Columbia Pictures, Happy Madison Productions"
Horrible Bosses,15,"New Line Cinema, Rat Entertainment"
Real Steel,10,"DreamWorks SKG, 21 Laps Entertainment, Reliance Entertainment, Touchstone Pictures, ImageMovers"
Friends with Benefits,21,"Castle Rock Entertainment, Screen Gems, Olive Bridge Entertainment"
Bad Teacher,11,"Columbia Pictures, Mosaic Media Group"
Sherlock Holmes: A Game of Shadows,34,"Village Roadshow Pictures, Silver Pictures, Lin Pictures, Warner Bros., Wigram Productions"
Cars 2,6,"Walt Disney Pictures, Pixar Animation Studios"
Green Lantern,13,"De Line Pictures, Warner Bros., DC Entertainment"
The Hangover Part II,20,"Legendary Pictures, Living Films, Green Hat Films, Warner Bros."
No Strings Attached,19,"Paramount Pictures, Spyglass Entertainment, Katalyst Films, Cold Spring Pictures, Montecito Picture Company, The"
The Adventures of Tintin,24,"Paramount Pictures, Columbia Pictures, WingNut Films, Amblin Entertainment, Nickelodeon Movies"
Bridesmaids,11,"Universal Pictures, Relativity Media, Apatow Productions"
Hall Pass,9,"New Line Cinema, Conundrum Entertainment"
Super 8,7,"Paramount Pictures, Amblin Entertainment, Bad Robot, K/O Camera Toys"
Sucker Punch,12,"Legendary Pictures, Warner Bros., Lennox House Films, Cruel and Unusual Films"
Red Riding Hood,15,"Appian Way, Warner Bros., Random Films"
The Twilight Saga: Breaking Dawn - Part 1,41,"Summit Entertainment, Sunswept Entertainment, Total Entertainment, TSBD Canada Productions, Zohar International"
The Tree of Life,16,Fox Searchlight
I Am Number Four,16,"DreamWorks SKG, Reliance BIG Entertainment, Bay Films, Touchstone Pictures"
Rio,3,"Blue Sky Studios, Twentieth Century Fox Animation"
The Artist,10,"France 3 CinÃ©ma, La Petite Reine, Studio 37, uFilm, Jouror Productions"
Zookeeper,9,"Columbia Pictures, Happy Madison Productions, Sony Pictures Releasing, Broken Road Productions, Metro-Goldwyn-Mayer (MGM)"
Cowboys & Aliens,16,"Imagine Entertainment, DreamWorks SKG, Universal Pictures, platinum studios, Reliance Entertainment"
War Horse,9,"DreamWorks SKG, Amblin Entertainment, Reliance Entertainment, Kennedy/Marshall Company, The"
50/50,5,"Summit Entertainment, Mandate Pictures"
Rango,5,"Paramount Pictures, Nickelodeon Movies, GK Films, Blind Wink, Paramount Animation"
The Change-Up,13,"Universal Pictures, Original Film, Relativity Media, Big Kid Pictures"
Hugo,4,"Paramount Pictures, Infinitum Nihil, GK Films"
The Lincoln Lawyer,18,"Lakeshore Entertainment, Sidney Kimmel Entertainment, Lionsgate"
Ghost Rider: Spirit of Vengeance,32,"Columbia Pictures, Imagenation Abu Dhabi FZ, Marvel Entertainment, Marvel Knights, Hyde Park Entertainment"
One Day,7,"Film 4, Color Force"
Killer Elite,12,"Current Entertainment, Omnilab Media, Ambience Entertainment, International Traders, Open Road Films"
The Rite,8,"New Line Cinema, Contrafilm, Mid Atlantic Films, Hungarian National Film Office, Lazio Film Commission"
Winnie the Pooh,15,"Walt Disney Pictures, Walt Disney Animation Studios"
The Three Musketeers,20,"Impact Pictures, Studio Babelsberg, Nouvelles Ã‰ditions de Films (NEF), New Legacy, Constantin Film Produktion"
Priest,6,"Screen Gems, Stars Road Entertainment, Buckaroo Entertainment, Michael De Luca Productions, TOKYOPOP"
Young Adult,11,"Paramount Pictures, Denver and Delilah Productions, Indian Paintbrush"
Abduction,9,"Lions Gate Films, Vertigo Entertainment, Gotham Group, Tailor Made, Mango Farms"
Unknown,7,"Studio Babelsberg, StudioCanal, Dark Castle Entertainment, TF1 Films Production, Canal+"
The Adjustment Bureau,21,"Universal Pictures, Media Rights Capital, Gambit Pictures, Electric Shepherd Productions"
Immortals,9,"Virgin Produced, Mark Canton Productions"
Larry Crowne,12,"Universal Pictures, Playtone Productions, Vendome Pictures"
Paul,4,"Universal Pictures, Big Talk Productions, Relativity Media, Working Title Films"
Colombiana,10,"TF1 Films Production, Canal+, CinÃ©CinÃ©ma, Grive Productions, EuropaCorp"
Battle: Los Angeles,19,"Columbia Pictures, Original Film, Relativity Media"
Final Destination 5,19,"New Line Cinema, Practical Pictures, Parallel Zide"
Machine Gun Preacher,20,"Mpower Pictures, Relativity Media, 1984 Private Defense Contractors, Virgin Produced, Moonlighting Films"
Jack and Jill,13,"Columbia Pictures, Happy Madison Productions, Broken Road Productions"
What's Your Number?,19,"Regency Enterprises, Contrafilm, New Regency Pictures"
Season of the Witch,19,"Atlas Entertainment, Relativity Media"
My Week with Marilyn,20,"BBC Films, The Weinstein Company, UK Film Council, Lip Sync Post, Trademark Films"
We Bought a Zoo,15,"Twentieth Century Fox Film Corporation, Dune Entertainment, Vinyl Films, LBI Entertainment"
The Darkest Hour,16,"Summit Entertainment, Regency Enterprises, Bazelevs Production, The Jacobson Company, New Regency Pictures"
The Help,8,"DreamWorks SKG, 1492 Pictures, Participant Productions, Imagenation Abu Dhabi FZ, Reliance Entertainment"
The Grey,8,"Scott Free Productions, 1984 Private Defense Contractors, LD Entertainment, Open Road Films, Inferno Distribution"
Moneyball,9,"Columbia Pictures, Scott Rudin Productions"
The Roommate,12,"Vertigo Entertainment, Screen Gems"
Puss in Boots,13,DreamWorks
The Green Hornet,16,"Original Film, Sony Pictures Entertainment, Reliance BIG Entertainment"
Something Borrowed,18,"Alcon Entertainment, Wild Ocean Films, 2S Films"
Conan the Barbarian,19,"Dark Horse Entertainment, Nu Image Films, Paradox Entertainment, Nimar Studios, Millennium Films"
Johnny English Reborn,21,Universal Pictures
Contagion,9,"Double Feature Films, Regency Enterprises, Warner Bros., Participant Media, Imagenation Abu Dhabi FZ"
The Big Year,12,"Ingenious Media, Dune Entertainment, Fox 2000 Pictures, Deuce Three Productions, Sunswept Entertainment"
Beastly,7,"CBS Films, Mel's Cite du Cinema, Storefront Films"
A Very Harold & Kumar Christmas,31,"New Line Cinema, Mandate Pictures"
The Thing,9,"Universal Pictures, Strike Entertainment, Morgan Creek Productions"
Tower Heist,11,"Universal Pictures, Image Entertainment, Relativity Media, Rat Entertainment"
New Year's Eve,14,New Line Cinema
Your Highness,13,"Universal Pictures, Stuber Productions"
Apollo 18,9,"Bazelevs Production, Dimension Films, Bekmambetov Projects Ltd."
Fright Night,12,Touchstone Pictures
Happy Feet Two,14,"Village Roadshow Pictures, Warner Bros., Dr D Studios, Kennedy Miller Mitchell"
Scream 4,8,Dimension Films
Mars Needs Moms,15,Walt Disney Animation Studios
Attack the Block,16,"UK Film Council, Studio Canal, Film4"
Diary of a Wimpy Kid: Rodrick Rules,35,"Fox 2000 Pictures, Color Force"
Extremely Loud & Incredibly Close,33,"Paramount Pictures, Scott Rudin Productions, Warner Bros."
Alvin and the Chipmunks: Chipwrecked,36,Fox 2000 Pictures
Straw Dogs,10,Battleplan Productions
The Best Exotic Marigold Hotel,30,"Participant Media, Imagenation Abu Dhabi FZ"
The Smurfs,10,"Columbia Pictures, Sony Pictures Animation, Kerner Entertainment Company"
Hanna,5,"Focus Features, Neunte Babelsberg Film, Focus Features, Holleran Company, Sechzehnte Babelsberg Film"
Gnomeo & Juliet,15,"Starz Animation, Touchstone Pictures"
The Descendants,15,"Fox Searchlight Pictures, Dune Entertainment, Ad Hominem Enterprises"
Hop,3,"Universal Pictures, Illumination Entertainment"
The Rum Diary,13,"FilmEngine, Infinitum Nihil, GK Films"
The Guard,9,"UK Film Council, Crescendo Productions, Element Pictures, Irish Film Board, Prescience"
Our Idiot Brother,17,The Weinstein Company
Footloose,9,"Spyglass Entertainment, MTV Films"
Trespass,8,"Nu Image Films, Winkler Films, Millennium Films"
Carnage,7,"Wild Bunch, Zanagar Films, Canal+, Constantin Film Produktion, CinÃ©CinÃ©ma"
The Ides of March,17,"Appian Way, Crystal City Entertainment, Cross Creek Pictures, Exclusive Media Group, Smokehouse Pictures"
Transformers: Dark of the Moon,30,"Paramount Pictures, Di Bonaventura Pictures, Hasbro, Indochina Productions"
Paranormal Activity 3,21,"Paramount Pictures, Blumhouse Productions, Room 101, Solana Films"
The Dilemma,11,"Imagine Entertainment, Universal Pictures, Spyglass Entertainment, Wild West Picture Show Productions"
Take Me Home Tonight,20,"Imagine Entertainment, Rogue Pictures, Relativity Media, Internationale Filmproduktion Blackbird Dritte"
The Muppets,11,Walt Disney Pictures
Seeking Justice,15,"Endgame Entertainment, Maguire Entertainment, Ram Bergman Productions, Aura Film Partnership, Fierce Entertainment"
Arthur,6,Warner Bros.
The Eagle,9,"Toledo Productions, Film4, Focus Features, Prime Focus, Twins Financing"
The Sitter,10,Twentieth Century Fox Film Corporation
J. Edgar,8,"Imagine Entertainment, Malpaso Productions, Wintergreen Productions"
Sanctum,7,"Universal Pictures, Wayfare Entertainment, Sanctum Australia, Relativity Media, Great Wight Productions/ Osford Films"
I Don't Know How She Does It,28,The Weinstein Company
A Dangerous Method,18,"Recorded Pictures Company, The Movie Network, Millbrook Pictures, Prospero Pictures, Lago Film"
Soul Surfer,11,"Mandalay Pictures, TriStar Pictures, Brookwell-McNamara Entertainment, FilmDistrict, Affirm Films"
30 Minutes or Less,18,Columbia Pictures
Hoodwinked Too! Hood VS. Evil,29,HW Two
Water for Elephants,19,"Ingenious Media, Dune Entertainment, Fox 2000 Pictures, Flashpoint Entertainment, Big Screen Productions"
Dream House,11,"Cliffjack Motion Pictures, Morgan Creek Productions"
Prom,4,"Walt Disney Pictures, Rickshaw Productions"
Killer Joe,10,"Voltage pictures, Worldview Entertainment, ANA Media, Picture Perfect (I)"
"Big Mommas: Like Father, Like Son",33,"Twentieth Century Fox Film Corporation, Regency Enterprises, New Regency Pictures, The Collective Studios, Runteldat Entertainment"
Dolphin Tale,12,"Alcon Entertainment, Arc Productions"
Xin shao lin si,15,"Emperor Motion Pictures, China Film Group Corporation (CFGC)"
Fast Five,9,"Universal Pictures, Original Film, One Race Productions"
Jumping the Broom,17,"TriStar Pictures, Stage 6 Films, Sony Pictures Worldwide Acquisitions (SPWA), TDJ Enterprises / New Dimensions Entertainment, Our Stories Films"
Monte Carlo,11,"Dune Entertainment, Regency Enterprises, Fox 2000 Pictures, DiNovi Pictures, Dune Entertainment III"
The Iron Lady,13,"UK Film Council, Canal+, DJ Films, CinÃ©CinÃ©ma, PathÃ©"
The Devil's Double,18,"Corrino Media Corporation, Corsan, Staccato Films"
Shark Night,11,Incentive Filmed Entertainment
Atlas Shrugged Part I,21,Atlas Productions
This Must Be the Place,22,"ARP SÃ©lection, Lucky Red, Indigo Film, Medusa Film, France 2 CinÃ©ma"
Albert Nobbs,12,Chrysalis Films
Justin Bieber: Never Say Never,30,"Insurge Pictures, Magical Elves Productions, Scooter Braun Films"
"Jeff, Who Lives at Home",23,Indian Paintbrush
X-Men: First Class,18,"Ingenious Film Partners, Ingenious Media, Twentieth Century Fox Film Corporation, Donners' Company, Dune Entertainment"
The Lord of the Rings: The Two Towers,37,"WingNut Films, New Line Cinema, The Saul Zaentz Company"
Harry Potter and the Chamber of Secrets,39,"1492 Pictures, Warner Bros., Heyday Films, MIRACLE Productions GmbH & Co. KG"
Ice Age,7,"Twentieth Century Fox Film Corporation, Blue Sky Studios, Twentieth Century Fox Animation"
The Bourne Identity,19,"Universal Pictures, Kennedy/Marshall Company, The, Hypnotic, Kalima Productions GmbH & Co. KG, Stillking Films"
Resident Evil,13,"Impact Pictures, Davis-Films, New Legacy, Constantin Film Produktion"
Spider-Man,10,"Columbia Pictures, Marvel Enterprises"
Star Wars: Episode II - Attack of the Clones,44,Lucasfilm
Catch Me If You Can,19,"DreamWorks SKG, Kemp Company, Splendid Pictures"
Men in Black II,15,"Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation"
The Pianist,11,"Bac Films, Canal+Polska, Heritage Films, Studio Babelsberg, Agencja Produkcji Filmowej"
Minority Report,15,"DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment, Twentieth Century Fox Film Corporation, Blue Tulip Productions"
Lilo & Stitch,13,"Walt Disney Pictures, Walt Disney Feature Animation"
The Transporter,15,"TF1 Films Productions, Current Entertainment, Canal+, EuropaCorp"
xXx,3,"Columbia Pictures, Original Film, Revolution Studios"
Treasure Planet,15,"Walt Disney Pictures, Walt Disney Feature Animation"
Die Another Day,15,Eon Productions
28 Days Later...,16,"DNA Films, British Film Council"
Maid in Manhattan,17,"Columbia Pictures, Hughes Entertainment, Revolution Studios, Shoelace Productions"
Blade II,8,"New Line Cinema, Marvel Entertainment, LLC, Amen Ra Films, Milk & Honey, Imaginary Forces"
Gangs of New York,17,"Miramax Films, Initial Entertainment Group (IEG), Alberto Grimaldi Productions"
Panic Room,10,"Columbia Pictures Corporation, Hofflund/Polone, Indelible Productions"
Stuart Little 2,15,"Columbia Pictures, Sony Pictures Entertainment"
National Lampoonâ€™s Van Wilder,31,"Tapestry Films, Artisan Entertainment"
8 Mile,6,"Imagine Entertainment, Mikona Productions GmbH & Co. KG"
Mr. Deeds,9,"New Line Cinema, Columbia Pictures Corporation, Out of the Blue... Entertainment, Happy Madison Productions"
Two Weeks Notice,16,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Fortis Films"
Signs,5,"Kennedy/Marshall Company, The, Touchstone Pictures, Blinding Edge Pictures"
The Ring,8,"DreamWorks SKG, BenderSpink, Parkes+MacDonald Image Nation"
A Walk to Remember,18,"Pandora Pictures, Warner Bros."
My Big Fat Greek Wedding,24,"MPH Entertainment, Playtone Productions, Gold Circle Films"
About a Boy,11,Universal Pictures
Collateral Damage,17,"David Foster Productions, Bel Air Entertainment, Warner Bros., Hacienda Productions"
Phone Booth,11,Fox 2000 Pictures
Star Trek: Nemesis,18,Paramount Pictures
Equilibrium,11,"Dimension Films, Blue Tulip Productions"
The Good Girl,13,"Fox Searchlight Pictures, Hungry Eye Lowland Pictures B.V., Flan de Coco Films"
The Hours,9,"Paramount Pictures, Miramax Films, Scott Rudin Productions"
Road to Perdition,17,"DreamWorks SKG, The Zanuck Company, Twentieth Century Fox Film Corporation"
Austin Powers in Goldmember,27,"New Line Cinema, Eric's Boy, Team Todd, Moving Pictures, Gratitude International"
The Santa Clause 2,18,Walt Disney Pictures
Insomnia,8,"Section Eight, Alcon Entertainment, Witt/Thomas Productions"
Ghost Ship,10,"Village Roadshow Pictures, NPV Entertainment, Dark Castle Entertainment, Warner Bros., Ghost Ship Films Pty. Ltd."
Scooby-Doo,10,"Atlas Entertainment, Mosaic Media Group, Warner Bros."
Spirit: Stallion of the Cimarron,32,DreamWorks Animation
D-Tox,5,Universal Pictures
The Scorpion King,17,"Universal Pictures, Kalima Productions GmbH & Co. KG, World Wrestling Entertainment (WWE), Alphaville Films"
I Spy,5,Colombia Pictures
We Were Soldiers,16,"Paramount Pictures, Icon Entertainment International, Wheelhouse Entertainment, Motion Picture Production GmbH & Co. Erste KG"
Jackass: The Movie,18,Paramount Pictures
Frida,5,"Miramax Films, Lions Gate Films, Ventanarosa Productions, Handprint Entertainment"
Murder by Numbers,17,"Castle Rock Entertainment, Warner Bros. Pictures, Schroeder Hoffman Productions"
Adaptation.,11,"Columbia Pictures, Beverly Detroit, Propaganda Films, Clinica Estetico, Intermedia"
Sweet Home Alabama,18,Touchstone Pictures
Barbershop,10,Metro-Goldwyn-Mayer (MGM)
Dark Blue,9,"United Artists, Intermedia Films, IM Filmproduktion, Cosmic Pictures, Metro-Goldwyn-Mayer (MGM)"
The Time Machine,16,"DreamWorks SKG, Warner Bros."
Undisputed,10,"Miramax Films, Amen Ra Films"
The Sweetest Thing,18,Konrad Pictures
Windtalkers,11,"Lion Rock Productions, Metro-Goldwyn-Mayer (MGM)"
John Q,6,"New Line Cinema, Burg/Koules Productions, Evolution Entertainment"
Unfaithful,10,"Regency Enterprises, Fox 2000 Pictures, Epsilon Motion Pictures, Unfaithful Filmproduktion GmbH & Co. KG"
Changing Lanes,14,Paramount Pictures
K-19: The Widowmaker,20,"Paramount Pictures, Intermedia Films, National Geographic Society, New Regency Pictures, Palomar Pictures (II)"
Queen of the Damned,19,"Village Roadshow Pictures, NPV Entertainment, Warner Bros., WV Films LLC, Material"
Spy Kids 2: Island of Lost Dreams,33,Dimension Films
Enough,6,Columbia Pictures
Friday After Next,17,New Line Cinema
Return to Never Land,20,"Walt Disney Pictures, Walt Disney Television Animation, Walt Disney Animation Australia, DisneyToon Studios, Walt Disney Animation Canada"
Slackers,8,"Sony Pictures, Screen Gems"
Chicago,7,"Miramax Films, Producers Circle, Storyline Entertainment"
One Hour Photo,14,"Fox Searchlight Pictures, Catch 23 Entertainment"
Femme Fatale,12,"Epsilon Motion Pictures, Quinta Communications"
City By The Sea,15,"Warner Bros. Pictures, Epsilon Motion Pictures, Franchise Pictures, Brad Grey Pictures, Sea Breeze Productions Inc."
Reign of Fire,13,"The Zanuck Company, Spyglass Entertainment, World 2000 Entertainment, Touchstone Pictures, Tripod Entertainment"
Showtime,8,"Village Roadshow Pictures, NPV Entertainment, Warner Bros., Tribeca Productions, Overbrook Entertainment"
High Crimes,11,"Twentieth Century Fox Film Corporation, Regency Enterprises, Monarch Pictures, Epsilon Motion Pictures, New Regency Pictures"
Hart's War,10,"David Foster Productions, Cheyenne Enterprises, Metro-Goldwyn-Mayer (MGM), David Ladd Films"
About Schmidt,13,"New Line Cinema, Avery Pix"
Blue Crush,10,"Imagine Entertainment, Mikona Productions GmbH & Co. KG, Universal Pictures, Shutt/Jones Productions"
Blood Work,10,"Malpaso Productions, Warner Bros. Pictures"
Solaris,7,"Twentieth Century Fox Film Corporation, Lightstorm Entertainment"
The Four Feathers,17,"Paramount Pictures, Miramax Films, Marty Katz Productions, Jaffilms Inc., Dune Films"
The Mothman Prophecies,22,Lakeshore Entertainment
Far from Heaven,15,Clear Blue Sky Productions
The Rookie,10,"Walt Disney Pictures, Gran Via Productions, 98 MPH Productions"
Bad Company,11,"Jerry Bruckheimer Films, Touchstone Pictures, Stillking Films"
Confessions of a Dangerous Mind,31,"Miramax Films, Allied Filmmakers, Mad Chance"
Trapped,7,"Senator Film Produktion, Propaganda Films, Colombia Pictures"
Clockstoppers,13,"Paramount Pictures, Nickelodeon Movies, Valhalla Motion Pictures"
Halloween: Resurrection,23,Dimension Films
Big Fat Liar,12,Universal Pictures
Antwone Fisher,14,Fox Searchlight
Igby Goes Down,14,United Artists
Boat Trip,9,"Motion Picture Corporation of America, Artisan Entertainment"
Crossroads,10,"Paramount Pictures, MTV Films"
The Adventures of Pluto Nash,28,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Mel's Cite du Cinema"
Abandon,7,"Paramount Pictures, Spyglass Entertainment, Touchstone Pictures"
Red Dragon,10,"Universal Pictures, Metro-Goldwyn-Mayer (MGM)"
Serving Sara,12,Paramount Pictures
Dragonfly,9,"Universal Pictures, Spyglass Entertainment, Shady Acres Entertainment, Gran Via Productions, Kalima Productions GmbH & Co. KG"
Drumline,8,Fox 2000 Pictures
All About the Benjamins,23,New Line Cinema
FearDotCom,10,"Milagro Films, Franchise Pictures, DoRo Fiction Film, Signature Pictures, ApolloMedia Distribution"
Auto Focus,10,"Sony Pictures Classics, Propaganda Films, Good Machine"
Possession,10,"Warner Bros. Pictures, Focus Features, Baltimore Spring Creek Productions"
Big Trouble,11,Touchstone Pictures
Undercover Brother,18,Universal Pictures
The Avengers,12,Marvel Studios
Underworld: Awakening,21,"Lakeshore Entertainment, Saturn Films, Screen Gems, Sketch Films, UW4 Productions"
The Dark Knight Rises,21,"Legendary Pictures, Warner Bros., DC Entertainment, Syncopy"
Django Unchained,16,"Columbia Pictures, The Weinstein Company"
Skyfall,7,Columbia Pictures
The Bourne Legacy,17,"Universal Pictures, Dentsu, Relativity Media, Kennedy/Marshall Company, The, Captivate Entertainment"
The Hobbit: An Unexpected Journey,33,"WingNut Films, New Line Cinema, Metro-Goldwyn-Mayer (MGM)"
Prometheus,10,"Twentieth Century Fox Film Corporation, Dune Entertainment, Scott Free Productions, Brandywine Productions"
Silver Linings Playbook,23,The Weinstein Company
The Amazing Spider-Man,22,"Columbia Pictures, Laura Ziskin Productions, Marvel Entertainment"
Brave,5,"Walt Disney Pictures, Pixar Animation Studios"
Snow White and the Huntsman,27,"Universal Pictures, Roth Films"
21 Jump Street,14,"Columbia Pictures, Original Film, Stephen J. Cannell Productions, Relativity Media, Metro-Goldwyn-Mayer (MGM)"
