Company Name,ISIN,BBG Ticker,var,value
Qualcomm,US7475251036,QCOM US Equity,42993,0
MobileEye,NL0010831061,MBBYF US Equity,42993,0
Teradyne,US8807701029,TER US Equity,42993,0.03
Omron,JP3197800000,6645 JP Equity,42993,0.03
Facebook,US30303M1027,FB US Equity,42993,0
Lumentum,US55024U1097,LITE US Equity,42993,0
Finisar,US31787A5074,FNSR US Equity,42993,0.03
II-VI,US9021041085,IIVI US Equity,42993,0.05
Fabrinet,KYG3323L1005,FN US Equity,42993,0.03
iRobot Corporation,US4627261005,IRBT US Equity,43084,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,43084,0.03
Fanuc Corporation,JP3802400006,6954 JP Equity,43084,0.03
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,43084,0.03
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,43084,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,43084,0.03
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,43084,0
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,43084,0.03
"Amazon.com, Inc.",US0231351067,AMZN US Equity,43084,0
Cognex Corporation,US1924221039,CGNX US Equity,43084,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,43084,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,43084,0.03
"FARO Technologies, Inc.",US3116421021,FARO US Equity,43084,0.03
Trimble Inc.,US8962391004,TRMB US Equity,43084,0.03
Adept Technology,US0068542028,ADEP US Equity,43084,0
Renishaw plc,GB0007323586,RSW LN Equity,43084,0.05
Tesla Inc,US88160R1014,TSLA US Equity,43084,0.03
BlackBerry Limited,CA09228F1036,BB CN Equity,43084,0
DENSO CORPORATION,JP3551500006,6902 JP Equity,43084,0.03
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,43084,0
Autoliv Inc.,US0528001094,ALV US Equity,43084,0.03
Visteon Corporation,US92839U2069,VC US Equity,43084,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,43084,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,43084,0
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,43084,0
Cray Inc.,US2252233042,CRAY US Equity,43084,0
ISRA VISION AG,DE0005488100,ISR GR Equity,43084,0.03
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,43084,0
"Micron Technology, Inc.",US5951121038,MU US Equity,43084,0.05
SK hynix Inc,KR7000660001,000660 KS Equity,43084,0.05
STMicroelectronics NV,NL0000226223,STM FP Equity,43084,0.03
ams AG,AT0000A18XM4,AMS SW Equity,43084,0
HTC Corporation,TW0002498003,2498 TT Equity,43084,0.03
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,43084,0.03
Kopin Corporation,US5006001011,KOPN US Equity,43084,0.03
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,43084,0.03
ARM Holding,GB0000595859,ARM LN Equity,43084,0
Qualcomm,US7475251036,QCOM US Equity,43084,0
MobileEye,NL0010831061,MBBYF US Equity,43084,0
Teradyne,US8807701029,TER US Equity,43084,0.03
Omron,JP3197800000,6645 JP Equity,43084,0.03
Facebook,US30303M1027,FB US Equity,43084,0
Lumentum,US55024U1097,LITE US Equity,43084,0
Finisar,US31787A5074,FNSR US Equity,43084,0.03
II-VI,US9021041085,IIVI US Equity,43084,0.05
Fabrinet,KYG3323L1005,FN US Equity,43084,0.05
iRobot Corporation,US4627261005,IRBT US Equity,43174,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,43174,0.03
Fanuc Corporation,JP3802400006,6954 JP Equity,43174,0.03
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,43174,0.03
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,43174,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,43174,0.03
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,43174,0.03
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,43174,0.03
"Amazon.com, Inc.",US0231351067,AMZN US Equity,43174,0
Cognex Corporation,US1924221039,CGNX US Equity,43174,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,43174,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,43174,0.03
"FARO Technologies, Inc.",US3116421021,FARO US Equity,43174,0.03
Trimble Inc.,US8962391004,TRMB US Equity,43174,0.03
Adept Technology,US0068542028,ADEP US Equity,43174,0
Renishaw plc,GB0007323586,RSW LN Equity,43174,0.05
Tesla Inc,US88160R1014,TSLA US Equity,43174,0.03
BlackBerry Limited,CA09228F1036,BB CN Equity,43174,0
DENSO CORPORATION,JP3551500006,6902 JP Equity,43174,0.03
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,43174,0
Autoliv Inc.,US0528001094,ALV US Equity,43174,0
Visteon Corporation,US92839U2069,VC US Equity,43174,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,43174,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,43174,0.03
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,43174,0
Cray Inc.,US2252233042,CRAY US Equity,43174,0
ISRA VISION AG,DE0005488100,ISR GR Equity,43174,0.03
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,43174,0
"Micron Technology, Inc.",US5951121038,MU US Equity,43174,0.05
SK hynix Inc,KR7000660001,000660 KS Equity,43174,0.05
STMicroelectronics NV,NL0000226223,STM FP Equity,43174,0.03
ams AG,AT0000A18XM4,AMS SW Equity,43174,0
HTC Corporation,TW0002498003,2498 TT Equity,43174,0.03
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,43174,0
Kopin Corporation,US5006001011,KOPN US Equity,43174,0.03
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,43174,0.03
ARM Holding,GB0000595859,ARM LN Equity,43174,0
Qualcomm,US7475251036,QCOM US Equity,43174,0
MobileEye,NL0010831061,MBBYF US Equity,43174,0
Teradyne,US8807701029,TER US Equity,43174,0.03
Omron,JP3197800000,6645 JP Equity,43174,0.03
Facebook,US30303M1027,FB US Equity,43174,0
Lumentum,US55024U1097,LITE US Equity,43174,0
Finisar,US31787A5074,FNSR US Equity,43174,0.03
II-VI,US9021041085,IIVI US Equity,43174,0.05
Fabrinet,KYG3323L1005,FN US Equity,43174,0.05
