Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
"University of Phoenix, Sugar Land Learning Center, Sugar Land",,,,,
,0,12.0,,Sugar Land,11
"University of Phoenix, Tacoma Learning Center, Tacoma",,,,,
,0,12.0,,93,29
"University of Phoenix, Taylorsville Learning Center, Salt Lake City",,,,,
,0,12.0,,137,15
"University of Phoenix, Timonium Learning Center, Timonium",,,,,
,0,12.0,,Timonium,30
"University of Phoenix, Tinley Park Learning Center, Mokena",,,,,
,0,12.0,,Mokena,27
"University of Phoenix, Topeka Student Resource Center, Topeka",,,,,
,0,12.0,,138,46
"University of Phoenix, Town Center Learning Center, Southfield",,,,,
,0,12.0,,64,4
"University of Phoenix, Tri Cities Student Resource Center, Kennewick",,,,,
,0,12.0,,Kennewick,29
"University of Phoenix, Tulsa Campus, Tulsa",,,,,
,0,12.0,,92,35
"University of Phoenix, Turnpike Learning Center, Westminster",,,,,
,0,12.0,,67,24
"University of Phoenix, Utah Campus, Salt Lake City",,,,,
,0,12.0,,137,15
"University of Phoenix, Virginia Beach Learning Center, Virginia Beach",,,,,
,0,12.0,,97,23
"University of Phoenix, Visalia Learning Center, Visalia",,,,,
,0,12.0,,Visalia,9
"University of Phoenix, Warrenville Learning Center, Warrenville",,,,,
,0,12.0,,Warrenville,27
"University of Phoenix, Washington D.C. Campus, Washington",,,,,
,0,12.0,,1,2
"University of Phoenix, Washington Learning Center, Washington",,,,,
,0,12.0,,1,16
"University of Phoenix, Western Washington Campus, Tukwila",,,,,
,0,12.0,,Tulkwila,29
"University of Phoenix, West Florida Campus, Tempe Terrace",,,,,
,0,12.0,,Tempe Terrace,32
"University of Phoenix, Westlake Learning Center, Westlake",,,,,
,0,12.0,,Westlake,10
"University of Phoenix, West Loop Learning Center, Houston",,,,,
,0,12.0,,7,11
"University of Phoenix, West Michigan Campus, Walker",,,,,
,0,12.0,,Walker,4
"University of Phoenix, West Oklahoma City Learning Center, Oklahoma City",,,,,
,0,12.0,,56,35
"University of Phoenix, Westshore Learning Center, Tampa",,,,,
,0,12.0,,66,32
"University of Phoenix, West Valley Learning Center, Phoenix",,,,,
,0,12.0,,3,5
"University of Phoenix, Whichita Campus, Whichita",,,,,
,0,12.0,,139,46
"University of Phoenix, Whichita Student Resource Center, Whichita",,,,,
,0,12.0,,139,12
"University of Phoenix, Windsor Park Learning Center, Windcrest",,,,,
,0,12.0,,Windcrest,11
"University of Phoenix, Woodland Hills Learning Center, Woodland Hills",,,,,
,0,12.0,,Woodland Hills,9
"University of Phoenix, Woodlands Learning Center, Spring",,,,,
,0,12.0,,Spring,11
"University of Phoenix, Wyoming Campus, Cheyenne",,,,,
,0,12.0,,Cheyenne,WY
"University of Phoenix, Yuma Learning Center, Yuma",,,,,
,0,12.0,,Yuma,6
University of Pittsburgh,,,,,
,29,5.0,12,17,16
,1,5.0,12,17,16
,Dietreich College - Arts and Sciences,5.0,,17,16
,27,5.0,,17,16
,7,5.0,,17,16
,Swanson School of Engineering,12.0,,17,16
,School of Health and Rehabilitation,12.0,,17,16
,13,12.0,,17,16
,57,5.0,,17,16
,14,12.0,,17,16
,School of Information Sciences,12.0,,17,16
,School of Public and International Affairs,5.0,,17,16
,15,5.0,,17,16
,43,5.0,,17,16
University of Pittsburgh-Carnegie Mellon University,,,,,
,Ph.D. Joint Program in Computational Biology,5.0,,17,16
University of Portland,,,,,
,Communication Studies,7.0,,59,36
,60,5.0,,59,36
,Drama,5.0,,59,36
,65,5.0,,59,36
,Music,7.0,,59,36
,Nursing,7.0,,59,36
,Engineering,5.0,,59,36
,Theology,5.0,,59,36
University of Puget Sound,,,,,
,School of Physical Therapy,12.0,,93,29
,School of Occupational Therapy,12.0,,93,29
University of Redlands,,,,,
,Master of Science in Geographic Engineering Systems,13.0,,Redlands,9
University of Rhode Island,,,,,
,College of Environmental and Life Sciences,,2,140,41
,Department of Communication Studies,,2,140,41
,39,12.0,,140,41
University of Rochester,,,,,
,Warner School of Education,,2,141,0
,School of Medicine and Dentistry,5.0,,141,0
University of San Diego,,,,,
,1,5.0,School of Business Administration,62,9
University of San Francisco,,,,,
,Ph.D,5.0,School of Arts and Sciences,75,9
,Office of Graduate Studies,15.0,,75,9
,45,12.0,School of Education,75,9
,Masagung Graduate School of Management,5.0,,75,9
,50,5.0,,75,9
,31,5.0,,75,9
,7,5.0,,75,9
University of Scranton,,,,,
,52,12.0,,84,16
,1,6.0,,84,16
,Counseling Programs,12.0,,84,16
,Master of Health Administration,12.0,,84,16
,Software Engineering,12.0,,84,16
,Human Resources Administration,6.0,,84,16
,Kania School of Managament,6.0,,84,16
University of South Carolina,,,,,
,Moore School of Business,12.0,,130,22
,13,,2,130,22
,Geological Sciences,12.0,,130,22
University of South Dakota,,,,,
,0,6.0,,Vermillion,SD
University of Southern Mississippi,,,,,
,College of Arts and Letters,12.0,0,142,40
,Department of Foreign Language and Literature,12.0,0,142,40
"University of St. Thomas, Minneapolis",,,,,
,Opus College of Business,5.0,no subscore below 6.5,15,17
"University of Texas, Austin",,,,,
,McCombs School of Business,7.0,MPA Only,34,11
"University of Texas, Brownsville",,,,,
,Master of Science in Physics,,2,Brownsville,11
"University of Texas, Tyler",,,,,
,61,,2,Tyler,11
University of Texas Medical Branch,,,,,
,7,12.0,,143,11
,School of Allied Health Sciences,12.0,,143,11
,9,12.0,,143,11
University of the Pacific,,,,,
,Thomas J. Long School of Pharmacy and Health Sciences,12.0,Pharm.D.: * ESL required: 5.0,Stockton,9
University of Virginia,,,,,
,Darden School of Business,5.0,,144,23
,7,,4,144,23
,Curry School of Education,5.0,,144,23
,Mcinitre School of Commerce,7.0,,144,23
,43,5.0,,144,23
,3,5.0,,144,23
,Frank Batten School of Leadership and Public Policy,,2,144,23
"University of Washington, Bothell",,,,,
,65,3.0,,Bothell,29
"University of Wisconsin, Madison",,,,,
,Wisconsin School of Business,,11,70,1
"University of Wisconsin, Stout",,,,,
,63,12.0,MS Degree in Technology Managament,Menomonie,1
Upper Iowa University,,,,,
,Master of Higher Education Administration,6.0,,145,45
,1,6.0,,145,45
,Master Public Administration,6.0,,145,45
Vanderbilt University,,,,,
,Master of Science in Nutrition and Dietetics,,2,54,18
,Owen Graduate School of Management,5.0,,54,18
,2,,2,54,18
,7,,2,54,18
,35,,2,54,18
,3,,2,54,18
,49,6.0,,54,18
Virginia Polytechnic Institute and State University,,,,,
,MS in Biomedical Technology Development and Managemen,5.0,,146,23
,School of Architecture and Design,12.0,Master of Landscape Architecture (MLA),146,23
,58,6.0,Ph.D. program,146,23
,College of Natural Resources,6.0,Geospatial and Environmental Analysis Doctoral Program,146,23
,Department of English,3.0,College of Liberal Arts and Human Sciences,146,23
,Pamplin College of Business,6.0,,146,23
,16,12.0,,146,23
,College of Agriculture and Life Sciences,12.0,,146,23
,College of Science,12.0,,146,23
,52,5.0,,146,23
Washburn University,,,,,
,0,12.0,,138,46
Washington University in St. Louis,,,,,
,Olin Business School,6.0,,65,34
,George Warren Brown School of Social Work MPH Program,5.0,,65,34
,George Warren Brown School of Social Work MSW Program,5.0,,65,34
Weber State University,,,,,
,Master of Education Program,6.0,,Ogden,15
Wesleyan University,,,,,
,Graduate Liberal Studies Program,5.0,,Middletown,38
West Coast University,,,,,
,Master of Science in Occupational Therapy,12.0,,N Hollywood,9
Western Kentucky University,,,,,
,Gordon Ford College of Business,6.0,9,Bowling Green,12
"Wheaton College, Illinois",,,,,
,45,12.0,,147,27
,20,7.0,,147,27
,Ph.D. Programs,7.0,,147,27
Widener University,,,,,
,School of Hospitality Management,5.0,,148,16
,30,5.0,,148,16
,49,5.0,,148,16
,Center for Education,5.0,,148,16
Willamette University,,,,,
,Atkinson Graduate School of Management,12.0,,136,36
Williams College,,,,,
,Center for Development Economics,6.0,,Williamstown,7
Winthrop University,,,,,
,39,6.0,,Rock Hill,22
Xavier University,,,,,
,1,12.0,,38,10
Yale University,,,,,
,Divinity School and Institute for Sacred Music,5.0,,149,38
,School of Forestry and Environmental Studies,,2,149,38
,11,,,149,38
York College of Pennsylvania,,,,,
,1,6.0,,York,16
